Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arminia,24,18,352,217,165,154,104,302,34.4,198,2779,844,30.4,931,1317,531,351,70,0,281,125,477,495,7
Augsburg,22,19,337,201,149,148,120,328,36.6,208,2610,780,29.9,898,1226,486,355,68,0,287,207,544,542,5
Bayern Munich,25,19,300,195,114,128,109,282,38.7,173,2481,854,34.4,584,1084,813,293,45,0,248,170,470,263,4
Dortmund,25,19,346,236,147,136,123,292,42.1,169,2501,915,36.6,681,1174,646,269,53,1,216,191,537,310,4
Eint Frankfurt,24,19,364,231,175,146,116,336,34.5,220,2957,969,32.8,957,1288,712,312,53,1,259,208,572,374,8
Freiburg,22,18,292,174,138,115,83,309,26.9,226,2750,723,26.3,803,1315,632,303,69,1,234,166,458,398,5
Hertha BSC,27,19,316,186,172,113,93,287,32.4,194,2860,848,29.7,1006,1237,617,334,64,1,270,198,514,459,11
Hoffenheim,28,19,308,195,138,136,111,302,36.8,191,2529,854,33.8,771,1152,606,318,53,4,265,161,469,349,3
Koln,25,18,347,188,188,130,101,310,32.6,209,2791,826,29.6,1033,1225,533,317,64,1,253,200,547,445,7
Leverkusen,24,19,315,191,132,141,104,280,37.1,176,2509,896,35.7,665,1208,636,284,50,2,234,201,516,313,3
M'Gladbach,22,19,312,190,140,137,110,334,32.9,224,2615,782,29.9,748,1235,632,355,80,3,275,189,501,436,3
Mainz 05,30,19,362,201,179,133,122,360,33.9,238,2679,794,29.6,834,1268,577,326,67,2,259,215,577,478,7
RB Leipzig,23,19,349,213,141,165,97,276,35.1,179,2821,982,34.8,681,1381,759,291,45,0,246,198,547,385,4
Schalke 04,32,19,345,217,178,135,111,327,33.9,216,2742,847,30.9,981,1217,544,347,83,1,264,190,535,356,4
Stuttgart,25,19,321,202,161,120,114,289,39.4,175,2463,816,33.1,773,1021,669,342,66,2,276,187,508,354,4
Union Berlin,26,19,343,208,191,132,116,282,41.1,166,2458,781,31.8,891,1144,423,294,58,1,236,200,543,391,4
Werder Bremen,26,19,314,206,156,120,108,304,35.5,196,2786,805,28.9,988,1207,591,321,52,0,269,234,548,473,2
Wolfsburg,25,18,376,233,177,162,116,315,36.8,199,2786,944,33.9,853,1248,685,320,50,1,270,203,579,416,4