Squad,# Pl,90s,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
Arminia,24,18,19,1.06,18,0,1,0,0,0,0
Augsburg,22,18,28,1.56,20,2,0,2,2,2,0
Bayern Munich,25,18,95,5.28,77,5,5,2,6,0,0
Dortmund,25,18,57,3.17,42,3,4,5,2,1,0
Eint Frankfurt,24,18,59,3.28,32,7,4,6,9,1,0
Freiburg,22,18,49,2.72,31,5,2,6,3,2,0
Hertha BSC,24,18,35,1.94,28,1,0,2,3,1,0
Hoffenheim,28,18,49,2.72,29,2,5,6,6,1,0
Koln,25,18,23,1.28,12,2,1,5,3,0,0
Leverkusen,24,18,53,2.94,33,7,4,7,1,1,0
M'Gladbach,22,18,56,3.11,31,6,0,8,9,2,0
Mainz 05,30,19,31,1.63,21,3,1,4,2,0,0
RB Leipzig,23,18,48,2.67,33,0,4,5,4,2,0
Schalke 04,30,18,24,1.33,15,3,1,1,2,2,0
Stuttgart,25,19,58,3.05,34,3,6,4,7,4,0
Union Berlin,25,18,60,3.33,43,5,2,2,6,2,0
Werder Bremen,26,18,40,2.22,24,7,0,1,5,3,0
Wolfsburg,25,18,48,2.67,33,3,3,4,5,0,0