Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,HxG,HxGA,xGDiff,xGDiff/90,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,AxG,AxGA,xGDiff,xGDiff/90
1,Bayern Munich,9,7,2,0,34,12,22,23,2.56,23,8.6,14.4,1.79,10,7,1,2,23,14,9,22,2.2,16,15,1,0.1
2,RB Leipzig,10,8,1,1,19,6,13,25,2.5,21.7,8.4,13.2,1.32,9,3,4,2,13,11,2,13,1.44,12.7,8.9,3.8,0.42
3,Wolfsburg,9,6,3,0,17,8,9,21,2.33,13.9,10.3,3.5,0.44,10,3,5,2,13,11,2,14,1.4,12.7,12.5,0.1,0.01
4,Eint Frankfurt,9,4,5,0,17,11,6,17,1.89,15.7,7.5,8.1,0.9,10,4,4,2,21,17,4,16,1.6,17.6,17.8,-0.3,-0.03
5,Leverkusen,9,4,3,2,16,11,5,15,1.67,12.1,10.7,1.5,0.16,10,5,2,3,16,8,8,17,1.7,11.9,9.5,2.5,0.25
6,Dortmund,9,5,1,3,20,12,8,16,1.78,18,10.9,7.2,0.8,10,5,1,4,18,15,3,16,1.6,21.5,10.3,11.2,1.12
7,M'Gladbach,10,5,4,1,18,11,7,19,1.9,15.8,10.5,5.2,0.52,9,3,4,2,18,18,0,13,1.44,16.2,13.8,2.4,0.27
8,Union Berlin,10,4,5,1,21,12,9,17,1.7,14.9,10.5,4.4,0.44,9,3,3,3,13,12,1,12,1.33,11.6,9.4,2.2,0.24
9,Freiburg,10,4,4,2,22,15,7,16,1.6,19.4,13.8,5.5,0.55,9,3,2,4,11,17,-6,11,1.22,8.9,14.1,-5.2,-0.65
10,Stuttgart,9,1,5,3,13,15,-2,8,0.89,14.4,15,-0.5,-0.06,10,5,2,3,22,14,8,17,1.7,22.6,12.6,10,1
11,Werder Bremen,9,2,3,4,9,13,-4,9,1,6.5,11,-4.6,-0.57,10,3,4,3,15,14,1,13,1.3,11.6,14,-2.5,-0.25
12,Hoffenheim,9,3,2,4,15,13,2,11,1.22,14.5,16,-1.5,-0.17,10,3,2,5,14,21,-7,11,1.1,14.8,15.8,-1.1,-0.12
13,Augsburg,10,3,2,5,11,17,-6,11,1.1,11.1,18.2,-7.1,-0.71,9,3,2,4,9,13,-4,11,1.22,6.8,13,-6.2,-0.69
14,Koln,10,1,3,6,11,19,-8,6,0.6,7.7,15.3,-7.6,-0.85,9,3,3,3,7,13,-6,12,1.33,10.4,15.8,-5.4,-0.6
15,Hertha BSC,9,2,2,5,11,19,-8,8,0.89,11.7,11.2,0.6,0.06,10,2,3,5,14,16,-2,9,0.9,11.7,16.3,-4.6,-0.46
16,Arminia,10,4,0,6,10,16,-6,12,1.2,7.2,17,-9.7,-0.97,9,1,2,6,5,16,-11,5,0.56,5.6,12.5,-6.9,-0.86
17,Mainz 05,10,1,2,7,9,19,-10,5,0.5,13.1,15.4,-2.3,-0.23,9,1,2,6,9,21,-12,5,0.56,10.4,17.2,-6.8,-0.76
18,Schalke 04,10,1,2,7,8,19,-11,5,0.5,9.1,18.8,-9.7,-0.97,9,0,3,6,7,30,-23,3,0.33,6.2,21,-14.8,-1.85