Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog
Arminia,24,18,6178,8210,75.2,135311,47899,9,9.5,-0.5,107,393,86,24,436
Augsburg,22,18,6012,7884,76.3,124359,43254,13,13.4,-0.4,123,365,106,31,496
Bayern Munich,25,18,9880,11759,84,201657,61979,43,29.5,13.5,229,855,244,65,907
Dortmund,25,18,10664,12534,85.1,204375,59550,28,28.2,-0.2,209,734,239,35,866
Eint Frankfurt,24,18,7165,9394,76.3,141412,53735,23,23.1,-0.1,181,569,153,47,709
Freiburg,22,18,6156,8100,76,131597,45965,20,16.2,3.8,167,416,131,45,558
Hertha BSC,24,18,7139,8952,79.7,161138,48738,16,15.9,0.1,153,476,131,43,599
Hoffenheim,28,18,7339,9210,79.7,146167,50790,19,17.7,1.3,157,534,149,45,676
Koln,25,18,5847,7801,75,123786,46609,11,10.7,0.3,117,380,97,37,469
Leverkusen,24,18,9747,11730,83.1,199152,58511,25,16,9,184,649,150,42,697
M'Gladbach,22,18,8057,9963,80.9,153748,50985,21,17.7,3.3,161,495,131,24,656
Mainz 05,30,19,5629,7773,72.4,113422,43600,12,18.2,-6.2,151,396,112,31,544
RB Leipzig,23,18,9196,11180,82.3,173224,56042,19,21.4,-2.4,204,666,197,46,829
Schalke 04,30,18,6090,7914,77,122888,42825,10,10.8,-0.8,141,362,112,20,511
Stuttgart,25,19,7752,9747,79.5,149254,54426,24,24.7,-0.7,212,540,179,48,730
Union Berlin,25,18,6091,8168,74.6,126318,45152,25,16.9,8.1,145,436,100,45,533
Werder Bremen,26,18,6071,7977,76.1,123821,44025,16,10.2,5.8,118,420,91,35,487
Wolfsburg,25,18,6931,9041,76.7,147609,49747,21,18.8,2.2,167,513,152,42,668