Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arminia,24,18,8210,7340,870,280,8,1446,273,155,53,24,22,0,5030,1048,2132,2085,4871,398,368,108,6178,30,181,161,211
Augsburg,22,18,7884,7009,875,259,12,1129,223,169,53,23,15,6,4796,1210,1878,1981,4772,397,366,154,6012,32,176,167,245
Bayern Munich,25,18,11759,10833,926,258,30,1140,384,319,131,45,56,8,8417,1466,1876,3832,6779,392,388,159,9880,31,150,188,248
Dortmund,25,18,12534,11706,828,214,38,1428,315,206,102,38,39,0,9630,1378,1526,3467,7993,371,370,148,10664,34,158,220,261
Eint Frankfurt,24,18,9394,8487,907,237,18,1393,209,249,101,32,36,10,6012,1229,2153,2655,5331,520,392,138,7165,36,155,171,274
Freiburg,22,18,8100,7214,886,234,6,1272,269,228,71,30,26,4,4900,1286,1914,2538,4415,384,379,120,6156,25,157,141,257
Hertha BSC,24,18,8952,8030,922,235,10,1051,357,241,82,16,36,8,5917,1204,1831,2799,5039,372,412,129,7139,30,142,145,226
Hoffenheim,28,18,9210,8256,954,289,13,1237,291,208,84,32,31,3,6225,1200,1785,1599,6524,362,401,138,7339,24,159,165,264
Koln,25,18,7801,6876,925,262,8,1137,234,203,77,35,26,6,4505,1296,2000,2514,4117,395,391,127,5847,30,167,146,255
Leverkusen,24,18,11730,10846,884,210,17,1649,312,226,103,29,42,7,8305,1501,1924,3604,6996,377,416,159,9747,37,142,185,269
M'Gladbach,22,18,9963,9049,914,266,19,1289,249,162,96,27,45,13,6954,1245,1764,2327,6609,350,372,120,8057,39,110,179,248
Mainz 05,30,19,7773,6797,976,246,12,1118,200,190,69,33,28,6,4662,1140,1971,2132,4397,394,452,177,5629,27,138,168,259
RB Leipzig,23,18,11180,10292,888,254,27,1523,240,219,95,33,42,11,7807,1425,1948,2629,7285,404,407,169,9196,28,151,199,263
Schalke 04,30,18,7914,6980,934,239,16,1166,231,137,68,20,40,6,5056,1170,1688,2492,4367,299,399,129,6090,39,131,141,248
Stuttgart,25,19,9747,8758,989,262,20,1319,227,228,99,30,39,18,6846,1179,1722,3304,5269,340,418,174,7752,29,158,206,275
Union Berlin,25,18,8168,7327,841,221,11,1121,225,206,80,31,39,7,4865,1249,2054,2181,4705,495,368,140,6091,34,208,151,247
Werder Bremen,26,18,7977,7053,924,306,4,1052,244,162,63,18,25,9,4974,1086,1917,2259,4593,362,372,144,6071,26,146,178,213
Wolfsburg,25,18,9041,8169,872,237,13,1178,292,218,86,43,27,1,5703,1298,2040,3859,3901,469,396,149,6931,28,170,181,271