Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arminia,24,18,12,154,48,31.2,8.56,2.67,0.08,0.25,18.7,5,0,0,12.8,12.8,0.08,-0.8,-0.8
Augsburg,22,18,18,167,54,32.3,9.28,3,0.11,0.33,18,6,0,1,17.4,16.6,0.1,0.6,1.4
Bayern Munich,25,18,53,286,110,38.5,15.89,6.11,0.16,0.43,16.5,7,6,6,39,34.5,0.12,14,12.5
Dortmund,25,18,35,277,102,36.8,15.39,5.67,0.12,0.33,16,9,1,3,37.6,35.1,0.13,-2.6,-1.1
Eint Frankfurt,24,18,31,224,79,35.3,12.44,4.39,0.11,0.32,16,8,6,6,30.9,26.4,0.12,0.1,-1.4
Freiburg,22,18,32,222,86,38.7,12.33,4.78,0.13,0.33,16.2,8,4,4,28.3,25.2,0.12,3.7,2.8
Hertha BSC,24,18,23,217,77,35.5,12.06,4.28,0.1,0.27,17.4,7,2,4,23,20,0.09,0,1
Hoffenheim,28,18,28,217,85,39.2,12.06,4.72,0.11,0.27,16.9,11,5,6,29.2,24.7,0.12,-1.2,-1.7
Koln,25,18,14,163,50,30.7,9.06,2.78,0.08,0.26,16.2,2,1,2,18.1,16.6,0.11,-4.1,-3.6
Leverkusen,24,18,31,238,91,38.2,13.22,5.06,0.12,0.32,18.3,10,2,2,23.5,22.1,0.1,7.5,6.9
M'Gladbach,22,18,35,226,91,40.3,12.56,5.06,0.12,0.31,16.5,6,7,7,31.1,25.8,0.12,3.9,2.2
Mainz 05,30,19,18,197,56,28.4,10.37,2.95,0.08,0.29,17.2,5,2,2,23.5,22,0.11,-5.5,-6
RB Leipzig,23,18,30,261,92,35.2,14.5,5.11,0.1,0.27,16.2,6,5,7,32.7,27.5,0.11,-2.7,-2.5
Schalke 04,30,18,13,199,54,27.1,11.06,3,0.07,0.24,17.7,6,0,1,15.4,14.6,0.07,-2.4,-1.6
Stuttgart,25,19,35,285,97,34,15,5.11,0.1,0.3,17.2,9,6,7,37.1,31.8,0.12,-2.1,-2.8
Union Berlin,25,18,33,201,79,39.3,11.17,4.39,0.15,0.38,17.4,4,3,5,26,22.1,0.11,7,7.9
Werder Bremen,26,18,22,187,62,33.2,10.39,3.44,0.1,0.29,18.4,8,4,4,18,15,0.08,4,3
Wolfsburg,25,18,27,237,83,35,13.17,4.61,0.11,0.3,17.5,9,2,3,26.5,24.5,0.11,0.5,0.5